1;VG0000000;DESPACHO G.G.T.O.;DESPACHO G.G.T.O.;Centralizada;GGTecnología Operaciones Telecom. Fijas
2;VG0500000;OPERACIONES REGIONALES;REGION CENTRAL;Específica;Gcia. Región Central
3;VG0500003;OPERACIONES REGIONALES;REGION CENTRAL;Específica;Gcia. Red Estado Apure
4;VG0500004;OPERACIONES REGIONALES;REGION CENTRAL;Específica;Gcia. Red Estado Aragua
5;VG0500007;OPERACIONES REGIONALES;REGION CENTRAL;Específica;Gcia. Red Estado Carabobo
6;VG0500012;OPERACIONES REGIONALES;REGION CENTRAL;Específica;Gcia. Red Estado Guárico
7;VG0500100;OPERACIONES REGIONALES;REGION CENTRAL;Específica;Coord. Proyectos Red de Acceso
8;VG0600000;OPERACIONES REGIONALES;REGION ORIENTAL;Específica;Gcia. Región Oriental
9;VG0600002;OPERACIONES REGIONALES;REGION ORIENTAL;Específica;Gcia. Red Estado Anzoátegui
10;VG0600006;OPERACIONES REGIONALES;REGION ORIENTAL;Específica;Gcia. Red Estado Bolívar Delta Am. Amz.
11;VG0600016;OPERACIONES REGIONALES;REGION ORIENTAL;Específica;Gcia. Red Estado Monagas
12;VG0600017;OPERACIONES REGIONALES;REGION ORIENTAL;Específica;Gcia. Red Estado Nueva Esparta
13;VG0600019;OPERACIONES REGIONALES;REGION ORIENTAL;Específica;Gcia. Red Estado Sucre
14;VG0600100;OPERACIONES REGIONALES;REGION ORIENTAL;Específica;Coord. Proyectos Red de Acceso
15;VG0700000;OPERACIONES REGIONALES;REGION OCCIDENTAL;Específica;Gcia. Región Occidental
16;VG0700021;OPERACIONES REGIONALES;REGION OCCIDENTAL;Específica;Gcia. Red Estado Trujillo
17;VG0700022;OPERACIONES REGIONALES;REGION OCCIDENTAL;Específica;Gcia. Red Estado Falcón
18;VG0700024;OPERACIONES REGIONALES;REGION OCCIDENTAL;Específica;Gcia. Red Estado Zulia
19;VG0700100;OPERACIONES REGIONALES;REGION OCCIDENTAL;Específica;Coord. Proyectos Red de Acceso
20;VG0800000;OPERACIONES REGIONALES;REGION CENTRO OCCIDENTAL;Específica;Gcia. Región Centro Occidental
21;VG0800012;OPERACIONES REGIONALES;REGION CENTRO OCCIDENTAL;Específica;Gcia. Red Estado Cojedes
22;VG0800013;OPERACIONES REGIONALES;REGION CENTRO OCCIDENTAL;Específica;Gcia. Red Estado Lara
23;VG0800018;OPERACIONES REGIONALES;REGION CENTRO OCCIDENTAL;Específica;Gcia. Red Estado Portuguesa
24;VG0800023;OPERACIONES REGIONALES;REGION CENTRO OCCIDENTAL;Específica;Gcia. Red Estado Yaracuy
25;VG0800100;OPERACIONES REGIONALES;REGION CENTRO OCCIDENTAL;Específica;Coord. Proyectos Red de Acceso
26;VG0900000;OPERACIONES CENTRALIZADAS;DESPACHO;Específica;Gcia. Operac. Centralizadas
27;VG0920000;OPERACIONES CENTRALIZADAS;CENTRO OPERAC. RED (COR);Específica;Gcia. Ctro.Operac.Red
28;VG0940000;OPERACIONES CENTRALIZADAS;OPERACIONES DE REDES;Específica;Gcia. Operaciones de Redes
29;VG0950000;OPERACIONES CENTRALIZADAS;OPERACIONES TI CENTRALIZADAS;Específica;Gcia.Operaciones TI Centralizadas
30;VG0970000;OPERACIONES CENTRALIZADAS;OPERACIONES IT DISTRIBUIDAS;Específica;Gcia. Operaciones IT Distribuidas
31;VG0980000;OPERACIONES CENTRALIZADAS;OPERACIONES REDES ESPECIALIZADAS;Específica;Gcia. Operaciones Redes Especializadas
32;VG0980100;OPERACIONES CENTRALIZADAS;OPERACIONES REDES ESPECIALIZADAS;Específica;CSeñalización.Sincronismo.NGN y Voz Int
33;VG0980200;OPERACIONES CENTRALIZADAS;OPERACIONES REDES ESPECIALIZADAS;Específica;Coord. Gest. y Facilidades Internacional
34;VG0980300;OPERACIONES CENTRALIZADAS;OPERACIONES REDES ESPECIALIZADAS;Específica;Coord.Cables Submarinos
35;VG0980400;OPERACIONES CENTRALIZADAS;OPERACIONES REDES ESPECIALIZADAS;Específica;Coord. Enlaces Satelitales
36;VG0980500;OPERACIONES CENTRALIZADAS;OPERACIONES REDES ESPECIALIZADAS;Específica;Coordinación de Mediación
37;VG09A0000;OPERACIONES CENTRALIZADAS;CENTRO DE OPERACIONES ULTIMA MILLA;Específica;Gcia Ctro de Operaciones Última Milla
38;VG09A0100;OPERACIONES CENTRALIZADAS;CENTRO DE OPERACIONES ULTIMA MILLA;Específica;Coord Centro Servicios Región Capital
39;VG09A0200;OPERACIONES CENTRALIZADAS;CENTRO DE OPERACIONES ULTIMA MILLA;Específica;Coord Centro Servicios Región Central
40;VG09A0300;OPERACIONES CENTRALIZADAS;CENTRO DE OPERACIONES ULTIMA MILLA;Específica;Coord Centro Servicios Región Oriental
41;VG09A0400;OPERACIONES CENTRALIZADAS;CENTRO DE OPERACIONES ULTIMA MILLA;Específica;C Provisión y Gestión Serv Última Milla
42;VG09B0000;OPERACIONES CENTRALIZADAS;GESTION DE TRAFICO;Específica;Gerencia Gestión de Tráfico
43;VG09C0000;OPERACIONES CENTRALIZADAS;DATA CENTER;Específica;Gcia.Data Center Clientes Exte
44;VG1100000;ING. DES.Y CONSTRUC.TI/SI;ING. DES. Y CONSTRUC. TI/SI - DESPACHO;Centralizada;G Ingeniería. Des y Construcción IT/IS
45;VG1110000;ING. DES.Y CONSTRUC.TI/SI;INGENIERIA DE SOLUCIONES;Centralizada;Gcia  Ingeniería  de Soluciones
46;VG1130000;ING. DES.Y CONSTRUC.TI/SI;FACTURACION;Centralizada;Gerencia Facturación
47;VG1130100;ING. DES.Y CONSTRUC.TI/SI;FACTURACION;Centralizada;Coord. de Insumos
48;VG1130300;ING. DES.Y CONSTRUC.TI/SI;FACTURACION;Centralizada;Coord.Producción de Facturación
49;VG1130400;ING. DES.Y CONSTRUC.TI/SI;FACTURACION;Centralizada;Coord. Medios de Facturación
50;VG1140000;ING. DES.Y CONSTRUC.TI/SI;ENTREGA DE SOLUCIONES;Centralizada;Gcia. Entrega de Soluciones
51;VG1150000;ING. DES.Y CONSTRUC.TI/SI;MTTO. Y CALIDAD DE APLICACIONES;Centralizada;G de Mantenimiento y Calidad de Aplicaci
52;VG1160000;ING. DES.Y CONSTRUC.TI/SI;ATENCION AL CLIENTE;Centralizada;Gcía de Atención al Cliente
53;VG1170000;ING. DES.Y CONSTRUC.TI/SI;CENTRO DE TRANSACCIONES CORPORATIVAS;Centralizada;Gcia Centro deTransacción Corp
54;VG1200000;OPERACIONES REGIONALES;GCIA. DE OPERACIONES REGIONALES- DESPACHO;Específica;Gcia Operaciones Regionales
55;VG1210000;OPERACIONES REGIONALES;GESTION OPERATIVA;Específica;Gcia Gestión Operativa
56;VG1210100;OPERACIONES REGIONALES;GESTION OPERATIVA;Específica;Coordinación Servicios Electrónicos
57;VG1300000;GESTION CALIDAD DE DESEMPEÑO;GESTION CALIDAD DE DESEMPEÑO - DESPACHO;Centralizada;Gcia Gestión de Calidad y Desempeño
58;VG1310000;GESTION CALIDAD DE DESEMPEÑO;Gcia. Costos y Desempeño Económico;Centralizada;Gcia Costos y Desempeño Económico
59;VG1320000;GESTION CALIDAD DE DESEMPEÑO;G Desempeño Operativo. Laboral y Entes E;Centralizada;GDesempeñoOperativ. Lab Entes Externos
60;VG1340000;GESTION CALIDAD DE DESEMPEÑO;Gcia. Gestión de la Calidad y Procesos;Centralizada;Gcia Gestión de la Calidad y Procesos
61;VG1360000;GESTION CALIDAD DE DESEMPEÑO;Gcia.  Servicios y Soluciones;Centralizada;Gerencia Servicios y Solucione
62;VG1900000;OPERACIONES REGIONALES;REGION CAPITAL;Específica;Gerencia Región Capital
63;VG1910000;OPERACIONES REGIONALES;REGION CAPITAL;Específica;Gerencia Nodos y Transporte
64;VG1920000;OPERACIONES REGIONALES;REGION CAPITAL;Específica;G Red Miranda
65;VG1920100;OPERACIONES REGIONALES;REGION CAPITAL;Específica;Coordinación Miranda I
66;VG1920200;OPERACIONES REGIONALES;REGION CAPITAL;Específica;Coordinación Miranda II
67;VG1920300;OPERACIONES REGIONALES;REGION CAPITAL;Específica;Coordinación Miranda III
68;VG1930000;OPERACIONES REGIONALES;REGION CAPITAL;Específica;G Red Dtto Capital Vargas
69;VG1930100;OPERACIONES REGIONALES;REGION CAPITAL;Específica;Coordinación Capital I
70;VG1930200;OPERACIONES REGIONALES;REGION CAPITAL;Específica;Coordinación Capital II
71;VG1930300;OPERACIONES REGIONALES;REGION CAPITAL;Específica;Coordinación Vargas
72;VG1940000;OPERACIONES REGIONALES;REGION CAPITAL;Específica;G Obras Proy Red y Nodos Acces
73;VG2200000;OPERACIONES REGIONALES;REGION LOS ANDES;Específica;Gcia. Región Los Andes
74;VG2200001;OPERACIONES REGIONALES;REGION LOS ANDES;Específica;Gcia. Red Estado Táchira
75;VG2200002;OPERACIONES REGIONALES;REGION LOS ANDES;Específica;Gcia. Red Estado Mérida
76;VG2200003;OPERACIONES REGIONALES;REGION LOS ANDES;Específica;Gcia. Red Estado Barinas
77;VG2200100;OPERACIONES REGIONALES;REGION LOS ANDES;Específica;Coord. Proyectos Red de Acceso
78;VG2300000;Planif e Ingeniería de Operaciones;GERENCIA DE PLANIFICACIÓN DE INGENIERIA DE OPERACIONES - DESPACHO;Centralizada;Gcia Planif e Ingeniería de Operaciones
79;VG2310000;Planif e Ingeniería de Operaciones;GERENCIA DE PLANIFICACIÓN DE OPERACIONES;Centralizada;Gerencia  Planificación De Operaciones
80;VG2320000;Planif e Ingeniería de Operaciones;GERENCIA DE INGENIERIA Y CONSTRUCCION PROYECTOS MENORES RED;Centralizada;Gcia Ing  y Construc Proyectos Menor Red
81;VG2400000;Operac de Servicios y Proyectos Especial;OPERACIONES DE SERVICIOS Y PROYECTOS ESPECIALES;Específica;Gcia Operac de Servicios y Proyectos Esp
